Gene ID	Gene Name	ERR5873116	ERR5873117	ERR5873118	ERR5873119	ERR5873120	ERR5873121	ERR5873122	ERR5873123
ENSMUSG00000000171	Sdhd	1172	1165	983	963	566	1959	708	1020
ENSMUSG00000000182	Fgf23	0	0	0	0	0	3	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	4820	4922	7396	4801	1711	2950	2424	5194
ENSMUSG00000000194	Gpr107	1412	1573	1172	1336	382	1187	587	859
ENSMUSG00000000197	Nalcn	162	229	89	114	58	260	81	112
ENSMUSG00000000202	Btbd17	0	14	8	9	8	50	2	5
ENSMUSG00000000204	Slfn4	10	34	16	132	0	105	10	11
ENSMUSG00000000214	Th	0	8	0	0	0	5	0	5
ENSMUSG00000000215	Ins2	946	3450	1362	3560	5809	4906	1861	3516
ENSMUSG00000000216	Scnn1g	0	1	0	0	7	7	1	22
ENSMUSG00000000223	Drp2	7	20	19	11	4	35	6	16
ENSMUSG00000000244	Tspan32	11	85	72	99	11	347	24	38
ENSMUSG00000000247	Lhx2	0	0	0	0	0	0	0	0
ENSMUSG00000000248	Clec2g	21	29	1	35	0	47	12	14
ENSMUSG00000000253	Gmpr	42	53	31	51	13	55	15	45
ENSMUSG00000000263	Glra1	0	0	0	0	0	0	0	2
ENSMUSG00000000266	Mid2	723	877	637	654	472	815	500	711
ENSMUSG00000000275	Trim25	1743	2314	1832	1926	694	1849	901	1421
ENSMUSG00000000276	Dgke	268	324	142	273	95	310	171	251
ENSMUSG00000000278	Scpep1	725	696	838	646	284	1489	466	828
ENSMUSG00000000282	Mnt	156	197	180	179	29	241	75	96
ENSMUSG00000000290	Itgb2	701	1090	668	1738	232	3552	511	550
ENSMUSG00000000295	Hddc2	256	364	326	286	121	288	144	228
ENSMUSG00000000296	Tpd52l1	250	237	206	256	150	250	155	238
ENSMUSG00000000301	Pemt	36	39	23	38	29	66	9	31
ENSMUSG00000000303	Cdh1	6144	7759	5967	5633	1671	5271	2290	3754
ENSMUSG00000000305	Cdh4	10	22	12	0	3	23	5	40
ENSMUSG00000000308	Ckmt1	378	401	154	366	80	219	141	282
ENSMUSG00000000317	Bcl6b	15	25	59	0	25	31	58	63
ENSMUSG00000000318	Clec10a	311	509	420	1127	99	4280	168	394
ENSMUSG00000000320	Alox12	111	125	217	170	96	120	81	233
ENSMUSG00000000326	Comt	668	907	706	907	303	2111	445	573
ENSMUSG00000000339	Rtca	225	250	272	193	92	311	96	173
ENSMUSG00000000340	Dbt	2528	2678	2513	2889	1368	1583	1771	2536
ENSMUSG00000000346	Dazap2	613	768	608	487	231	1448	406	696
ENSMUSG00000000355	Mcts1	248	299	232	302	166	592	328	434
ENSMUSG00000000359	Rem1	40	62	42	51	5	143	30	33
ENSMUSG00000000365	Rnf17	14	0	3	6	13	40	4	1
ENSMUSG00000000374	Trappc10	2504	2882	2958	2114	981	1544	1005	1520
ENSMUSG00000000378	Ccm2	354	413	346	362	146	658	192	242
ENSMUSG00000000381	Wap	4	9	8	0	0	16	3	7
ENSMUSG00000000384	Tbrg4	567	577	660	662	126	287	188	308
ENSMUSG00000000385	Tmprss2	983	1065	752	624	162	748	315	593
ENSMUSG00000000386	Mx1	84	61	36	154	9	277	26	53
ENSMUSG00000000392	Fap	494	470	133	317	237	1015	170	357
ENSMUSG00000000394	Gcg	1439	5269	1168	4588	8351	15319	2503	4446
ENSMUSG00000000399	Ndufa9	1199	1351	1065	1077	429	1122	588	1019
ENSMUSG00000000402	Egfl6	6	10	12	0	8	118	18	28
ENSMUSG00000000409	Lck	14	15	30	17	0	73	11	5
ENSMUSG00000000411	Tssk3	6	1	0	0	2	9	3	8
ENSMUSG00000000416	Cttnbp2	184	218	118	238	77	228	115	167
ENSMUSG00000000420	Galnt1	4192	4506	3564	3664	1782	5753	2243	3344
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	559	647	432	503	154	429	229	357
ENSMUSG00000000440	Pparg	98	148	116	212	44	187	46	67
ENSMUSG00000000441	Raf1	1113	1060	980	722	283	893	407	637
ENSMUSG00000000486	Septin1	29	51	35	36	10	65	18	14
ENSMUSG00000000489	Pdgfb	457	440	456	284	127	456	276	297
ENSMUSG00000000530	Acvrl1	271	368	309	369	154	883	287	360
ENSMUSG00000000531	Tamalin	222	262	250	214	101	266	121	173
ENSMUSG00000000532	Acvr1b	1022	1142	838	891	291	1071	377	544
ENSMUSG00000000538	Tom1l2	891	974	957	918	319	625	426	588
ENSMUSG00000000544	Gpa33	0	27	18	48	3	112	7	11
ENSMUSG00000000552	Zfp385a	60	63	78	209	4	120	33	57
ENSMUSG00000000555	Itga5	305	348	442	325	80	386	144	194
ENSMUSG00000000560	Gabra2	2	26	1	15	4	18	1	14
ENSMUSG00000000561	Wdr77	476	584	506	425	206	552	317	525
ENSMUSG00000000562	Adora3	2	22	10	0	0	20	8	12
ENSMUSG00000000563	Atp5pb	2265	2250	1912	2054	1713	3910	2178	3356
ENSMUSG00000000567	Sox9	842	1727	648	693	307	1542	467	825
ENSMUSG00000000568	Hnrnpd	1427	1606	1285	1279	415	949	584	930
ENSMUSG00000000579	Dynlt1c	60	87	62	37	11	55	37	78
ENSMUSG00000000581	C1d	459	430	331	352	363	1002	413	579
ENSMUSG00000000594	Gm2a	431	669	508	700	121	1897	330	403
ENSMUSG00000000600	Krit1	1438	1510	840	1068	744	1626	938	1438
ENSMUSG00000000605	Clcn4	1566	1769	1130	1409	696	2443	918	1383
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	3	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	1	1	0	0	0	2	1	10
ENSMUSG00000000628	Hk2	709	696	1139	1175	170	530	208	309
ENSMUSG00000000631	Myo18a	6261	6389	5542	6164	1141	2720	1768	2632
ENSMUSG00000000632	Sez6	0	1	6	0	0	11	0	1
ENSMUSG00000000673	Haao	20	10	29	17	8	56	7	14
ENSMUSG00000000682	Cd52	91	113	84	142	30	1164	94	95
ENSMUSG00000000686	Abhd15	0	16	21	14	6	36	12	32
ENSMUSG00000000690	Hoxb6	40	21	18	16	4	41	16	14
ENSMUSG00000000693	Loxl3	178	299	206	325	62	520	126	148
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	2	0	0	7	10	10
ENSMUSG00000000708	Kat2b	2145	2209	1425	1485	1061	2285	1203	1690
ENSMUSG00000000711	Rab5b	1610	1728	1238	1024	670	2015	807	1175
ENSMUSG00000000724	Cryba1	35	22	9	0	2	16	13	18
ENSMUSG00000000730	Dnmt3l	3	0	5	19	0	7	9	0
ENSMUSG00000000731	Aire	0	1	3	0	0	1	0	2
ENSMUSG00000000732	Icosl	101	129	105	113	23	345	45	102
ENSMUSG00000000738	Spg7	632	684	728	838	136	768	259	489
ENSMUSG00000000739	Sult5a1	44	71	43	18	23	102	19	47
ENSMUSG00000000740	Rpl13	7003	7328	7928	7550	2779	7311	4166	6599
ENSMUSG00000000743	Chmp1a	667	1012	771	968	240	1193	376	540
ENSMUSG00000000751	Rpa1	541	545	429	587	191	849	289	452
ENSMUSG00000000753	Serpinf1	343	435	335	837	317	1590	336	640
ENSMUSG00000000759	Tubgcp3	1180	1271	990	948	401	940	497	675
ENSMUSG00000000766	Oprm1	5	6	1	0	0	3	1	4
ENSMUSG00000000776	Polr3d	622	672	667	562	176	459	217	395
ENSMUSG00000000782	Tcf7	106	150	167	151	27	95	48	69
ENSMUSG00000000787	Ddx3x	10111	10892	7706	9666	4589	10402	4900	7133
ENSMUSG00000000791	Il12rb1	33	14	17	23	5	10	9	10
ENSMUSG00000000792	Slc5a5	0	7	1	3	0	5	5	2
ENSMUSG00000000794	Kcnn3	226	369	202	83	88	185	81	173
ENSMUSG00000000804	Usp32	1136	1173	917	1077	606	1185	697	1022
ENSMUSG00000000805	Car4	31	24	38	12	23	6	26	49
ENSMUSG00000000811	Txnrd3	228	305	292	366	89	207	100	181
ENSMUSG00000000817	Fasl	4	2	4	0	2	23	5	6
ENSMUSG00000000823	Zfp512b	745	952	968	769	175	521	259	364
ENSMUSG00000000826	Dnajc5	1630	1860	1823	1762	458	1599	746	1101
ENSMUSG00000000827	Tpd52l2	1008	1359	1178	1261	629	1891	782	1126
ENSMUSG00000000838	Fmr1	877	1168	611	755	602	1889	850	1476
ENSMUSG00000000861	Bcl11a	365	691	569	460	157	749	477	554
ENSMUSG00000000869	Il4	20	30	20	0	23	52	24	25
ENSMUSG00000000876	Pxmp4	564	662	585	366	177	348	224	470
ENSMUSG00000000881	Dlg3	1174	1043	961	1086	386	785	380	624
ENSMUSG00000000884	Gnb1l	119	111	115	124	22	88	45	59
ENSMUSG00000000889	Dbh	0	0	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	27	64	34	0	6	146	17	51
ENSMUSG00000000902	Smarcb1	512	716	689	734	166	676	360	430
ENSMUSG00000000903	Vpreb3	0	8	3	0	0	0	0	8
ENSMUSG00000000915	Hip1r	2610	2596	2533	2654	465	1052	892	1277
ENSMUSG00000000916	Nsun5	201	263	303	188	61	173	91	174
ENSMUSG00000000934	Top1mt	310	335	374	314	48	189	98	148
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	0	0	5	0	0	4	0	3
ENSMUSG00000000948	Gm38393	104	167	70	93	117	223	198	220
ENSMUSG00000000957	Mmp14	526	718	475	803	165	2311	363	650
ENSMUSG00000000958	Slc7a7	163	322	204	196	32	453	125	154
ENSMUSG00000000959	Oxa1l	552	644	581	512	137	445	239	326
ENSMUSG00000000976	Heatr6	371	405	379	428	143	359	161	242
ENSMUSG00000000982	Ccl3	0	0	0	0	2	23	2	1
ENSMUSG00000000983	Wfdc18	3	44	45	21	4	160	8	47
ENSMUSG00000001014	Icam4	0	0	0	0	0	0	0	0
ENSMUSG00000001016	Ilf2	882	937	734	719	213	1078	440	671
ENSMUSG00000001017	Chtop	1110	1300	876	922	436	1427	679	1034
ENSMUSG00000001018	Snapin	460	483	392	256	159	688	167	362
ENSMUSG00000001020	S100a4	50	150	58	99	52	748	101	126
ENSMUSG00000001021	S100a3	0	0	0	0	0	0	0	0
ENSMUSG00000001023	S100a5	0	0	0	0	0	0	0	1
ENSMUSG00000001025	S100a6	556	867	539	1447	509	5371	924	1014
ENSMUSG00000001027	Scn4a	0	0	0	0	0	0	2	0
ENSMUSG00000001029	Icam2	9	39	33	2	79	131	63	64
ENSMUSG00000001034	Mapk7	116	208	199	238	6	163	48	96
ENSMUSG00000001036	Epn2	379	705	477	414	186	606	241	414
ENSMUSG00000001039	B9d1	82	161	65	93	32	256	93	106
ENSMUSG00000001052	Sec24b	1583	1834	1118	1266	401	1214	505	786
ENSMUSG00000001053	N4bp3	65	84	99	83	34	110	42	89
ENSMUSG00000001054	Rmnd5b	323	429	479	392	134	394	190	258
ENSMUSG00000001056	Nhp2	466	448	555	568	229	630	261	479
ENSMUSG00000001062	Vps9d1	289	332	328	336	112	244	141	150
ENSMUSG00000001065	Zfp276	472	457	380	569	140	270	206	238
ENSMUSG00000001076	C1ql4	0	0	0	0	0	0	0	0
ENSMUSG00000001082	Mfsd10	118	251	280	250	44	171	94	126
ENSMUSG00000001089	Luzp1	1670	1417	1409	1940	498	1541	628	1087
ENSMUSG00000001095	Slc13a2	1	0	8	0	0	11	1	3
ENSMUSG00000001098	Kctd10	289	481	360	400	207	1059	358	450
ENSMUSG00000001100	Poldip2	1165	1295	1104	1077	338	816	501	822
ENSMUSG00000001103	Sebox	12	0	6	0	0	12	3	1
ENSMUSG00000001105	Ift20	2248	2292	2554	2512	1058	1954	1450	2244
ENSMUSG00000001119	Col6a1	3090	3686	2432	3683	1228	5498	1833	2714
ENSMUSG00000001120	Pcbp3	93	96	92	137	33	133	53	76
ENSMUSG00000001123	Lgals9	764	1008	1191	774	102	1454	159	408
ENSMUSG00000001127	Araf	1315	1724	1301	1277	416	999	531	957
ENSMUSG00000001128	Cfp	364	554	275	924	79	3060	283	300
ENSMUSG00000001131	Timp1	14	83	46	111	7	589	71	50
ENSMUSG00000001134	Uxt	188	198	167	122	103	230	96	154
ENSMUSG00000001138	Cnnm3	552	517	345	314	175	340	185	287
ENSMUSG00000001143	Lman2l	269	306	316	309	98	359	190	231
ENSMUSG00000001150	Mcm3ap	1258	1335	1210	1155	256	863	511	634
ENSMUSG00000001151	Pcnt	1279	1716	1416	1714	361	1174	606	899
ENSMUSG00000001155	Ftcd	0	0	0	0	0	0	0	2
ENSMUSG00000001156	Mxd1	479	525	497	365	175	304	221	287
ENSMUSG00000001157	Gmcl1	424	534	386	348	170	459	246	419
ENSMUSG00000001158	Snrnp27	254	422	335	480	204	741	311	530
ENSMUSG00000001166	Oas1c	27	46	32	76	7	70	7	28
ENSMUSG00000001168	Oas1h	0	0	2	0	0	4	0	0
ENSMUSG00000001173	Ocrl	835	1001	807	783	388	734	356	690
ENSMUSG00000001175	Calm1	5228	6599	4089	5721	2808	14869	4104	5859
ENSMUSG00000001211	Agpat3	1440	1661	1598	1237	395	1152	588	891
ENSMUSG00000001225	Slc26a3	0	0	2	0	0	16	0	1
ENSMUSG00000001227	Sema6b	90	83	72	94	43	112	38	50
ENSMUSG00000001228	Uhrf1	219	269	183	423	39	450	136	149
ENSMUSG00000001229	Dpp9	1466	1669	1517	1246	497	945	751	963
ENSMUSG00000001240	Ramp2	55	58	58	14	46	149	41	86
ENSMUSG00000001247	Lsr	372	310	292	296	101	476	150	222
ENSMUSG00000001248	Gramd1a	2408	2307	1927	2355	477	1053	623	948
ENSMUSG00000001249	Hpn	2465	2640	2514	2399	535	1054	1000	1219
ENSMUSG00000001260	Gabrg1	3	1	6	13	0	213	0	0
ENSMUSG00000001270	Ckb	57	116	111	178	107	808	104	161
ENSMUSG00000001280	Sp1	2491	2611	2082	2116	851	2429	1158	1954
ENSMUSG00000001281	Itgb7	57	91	61	104	6	192	45	61
ENSMUSG00000001285	Myg1	431	461	447	348	165	463	192	295
ENSMUSG00000001288	Rarg	233	238	239	193	71	441	151	187
ENSMUSG00000001289	Pfdn5	3964	4051	3544	3987	1762	5711	2006	3582
ENSMUSG00000001300	Efnb2	97	164	165	160	69	257	158	205
ENSMUSG00000001305	Rrp15	257	372	403	589	89	416	211	293
ENSMUSG00000001313	Rnd2	33	80	90	97	13	112	23	37
ENSMUSG00000001323	Srr	239	231	251	174	97	234	126	181
ENSMUSG00000001333	Sync	46	68	67	44	14	57	35	54
ENSMUSG00000001334	Fndc5	12	27	15	82	4	135	5	12
ENSMUSG00000001348	Acp5	101	111	151	196	32	530	68	38
ENSMUSG00000001349	Cnn1	13	7	8	11	6	39	10	22
ENSMUSG00000001366	Fbxo9	1407	1475	1109	1345	412	685	562	951
ENSMUSG00000001376	Vps50	1063	1327	881	1261	556	1463	637	929
ENSMUSG00000001380	Hars1	1576	1536	1912	2036	530	1215	685	1033
ENSMUSG00000001383	Zmat2	465	448	391	577	171	1078	293	440
ENSMUSG00000001403	Ube2c	13	30	45	46	1	59	36	52
ENSMUSG00000001415	Smg5	1026	1328	1446	1389	304	1184	522	781
ENSMUSG00000001416	Cct3	1688	1616	1458	1489	504	2680	844	1360
ENSMUSG00000001418	Glmp	658	819	728	581	164	673	239	429
ENSMUSG00000001419	Mef2d	1957	1917	1949	2244	465	899	749	1105
ENSMUSG00000001420	Tmem79	18	56	44	23	19	29	23	30
ENSMUSG00000001424	Snd1	18940	19603	21133	16359	4692	7605	7057	9700
ENSMUSG00000001435	Col18a1	605	813	621	967	264	1932	788	980
ENSMUSG00000001436	Slc19a1	322	319	403	232	88	163	139	218
ENSMUSG00000001440	Kpnb1	4555	5230	4688	4767	1279	4695	1920	2796
ENSMUSG00000001441	Npepps	1323	1289	952	1033	390	1233	501	813
ENSMUSG00000001444	Tbx21	0	2	4	0	0	8	4	1
ENSMUSG00000001445	Mrpl10	465	461	435	292	135	414	168	215
ENSMUSG00000001467	Cyp51	260	332	203	375	173	1076	393	411
ENSMUSG00000001472	Tcf25	14880	14385	15732	14228	3889	5885	4796	6832
ENSMUSG00000001473	Tubb6	294	375	257	503	59	1007	229	219
ENSMUSG00000001482	Def8	384	466	525	424	157	338	173	284
ENSMUSG00000001493	Meox1	21	18	45	24	60	97	55	98
ENSMUSG00000001494	Sost	0	0	0	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	0	0	0	0	0	0	0	0
ENSMUSG00000001497	Pax9	2	0	0	1	0	3	5	0
ENSMUSG00000001504	Irx2	9	17	7	19	13	15	4	13
ENSMUSG00000001506	Col1a1	2714	4151	2713	11125	463	6635	1892	2123
ENSMUSG00000001507	Itga3	907	917	807	757	200	1107	378	497
ENSMUSG00000001508	Sgca	0	0	5	0	0	2	2	1
ENSMUSG00000001510	Dlx3	0	0	0	0	0	0	0	0
ENSMUSG00000001517	Foxm1	43	65	96	88	12	71	30	35
ENSMUSG00000001518	Itfg2	428	403	470	273	133	264	161	245
ENSMUSG00000001520	Nrip2	57	96	111	16	44	72	50	66
ENSMUSG00000001521	Tulp3	122	209	103	122	50	226	88	139
ENSMUSG00000001524	Gtf2h4	97	92	201	244	48	144	58	63
ENSMUSG00000001525	Tubb5	2303	2890	2459	3040	505	6148	1519	1925
ENSMUSG00000001542	Ell2	2755	3068	2469	2772	2053	2473	2393	3611
ENSMUSG00000001552	Jup	1299	1402	1436	1392	454	1601	564	917
ENSMUSG00000001555	Fkbp10	143	160	170	263	62	541	133	135
ENSMUSG00000001558	Klhl10	29	29	19	0	7	3	10	13
ENSMUSG00000001566	Mnx1	0	0	2	0	0	1	3	6
ENSMUSG00000001569	Nom1	648	774	767	937	322	680	396	542
ENSMUSG00000001576	Ergic1	1802	2011	1841	1545	520	1502	802	1185
ENSMUSG00000001583	Tnk1	360	350	335	472	52	131	108	184
ENSMUSG00000001588	Acap1	13	20	38	2	4	63	15	9
ENSMUSG00000001604	Tcea3	1091	1016	936	642	199	229	368	531
ENSMUSG00000001622	Csn3	0	3	0	0	0	2	0	0
ENSMUSG00000001627	Ifrd1	6656	7407	8680	5544	5269	4157	6309	10339
ENSMUSG00000001630	Stk38l	454	435	343	456	190	562	190	296
ENSMUSG00000001632	Brpf1	1052	901	1072	878	191	696	334	398
ENSMUSG00000001642	Akr1b1	398	604	510	524	281	1315	260	391
ENSMUSG00000001655	Hoxc13	0	0	0	0	0	0	0	0
ENSMUSG00000001656	Hoxc11	0	0	0	0	0	0	0	0
ENSMUSG00000001657	Hoxc8	0	0	0	0	0	0	0	0
ENSMUSG00000001661	Hoxc6	2	5	0	0	0	0	0	0
ENSMUSG00000001663	Gstt1	403	705	430	403	220	743	197	376
ENSMUSG00000001665	Gstt3	813	809	786	583	135	396	237	361
ENSMUSG00000001666	Ddt	190	151	227	201	51	160	82	183
ENSMUSG00000001670	Tat	0	2	1	0	0	4	0	0
ENSMUSG00000001672	Marveld3	512	532	373	361	184	358	237	369
ENSMUSG00000001674	Ddx18	426	426	524	529	100	230	122	293
ENSMUSG00000001687	Ubl3	1858	1968	1541	1486	843	2678	1132	1757
ENSMUSG00000001700	Gramd2b	1346	1727	1345	1350	374	1032	663	874
ENSMUSG00000001707	Eef1e1	216	208	108	162	193	421	231	363
ENSMUSG00000001729	Akt1	7039	7213	7179	6372	1455	5084	2684	3266
ENSMUSG00000001739	Cldn15	59	84	23	51	96	309	131	182
ENSMUSG00000001741	Il16	236	313	135	299	81	628	145	214
ENSMUSG00000001750	Tcirg1	687	942	962	1271	120	688	275	310
ENSMUSG00000001751	Naglu	330	395	303	424	145	506	171	233
ENSMUSG00000001755	Coasy	1305	1278	1386	1194	411	795	626	1016
ENSMUSG00000001761	Smo	580	818	729	576	223	1147	377	519
ENSMUSG00000001763	Tspan33	50	71	62	36	24	97	24	38
ENSMUSG00000001767	Crnkl1	539	682	482	628	192	971	342	483
ENSMUSG00000001768	Rin2	483	809	461	855	389	2708	508	945
ENSMUSG00000001773	Folh1	0	6	4	7	26	95	24	25
ENSMUSG00000001774	Chordc1	876	1136	738	832	564	1848	942	1300
ENSMUSG00000001783	Rtcb	6141	6640	6155	6179	1346	4438	1855	3098
ENSMUSG00000001785	Pwp1	836	866	980	850	249	897	330	532
ENSMUSG00000001786	Fbxo7	464	550	521	553	237	457	256	325
ENSMUSG00000001794	Capns1	771	965	752	794	469	3139	521	898
ENSMUSG00000001802	Lrp3	61	130	98	155	21	233	85	84
ENSMUSG00000001804	Dsg4	0	0	0	0	0	0	0	0
ENSMUSG00000001815	Evx2	0	0	0	0	0	0	0	0
ENSMUSG00000001819	Hoxd13	0	0	0	0	0	0	0	0
ENSMUSG00000001823	Hoxd12	0	0	0	0	0	0	0	0
ENSMUSG00000001827	Folr1	9	0	2	0	0	24	2	20
ENSMUSG00000001829	Clpb	1773	1618	1533	1370	567	1035	781	1163
ENSMUSG00000001833	Septin7	1130	1859	864	1688	1318	6246	1816	2856
ENSMUSG00000001844	Zdhhc4	322	308	226	188	54	249	123	169
ENSMUSG00000001847	Rac1	1752	1927	1693	1213	590	3257	940	1491
ENSMUSG00000001855	Nup214	765	802	790	840	192	579	273	400
ENSMUSG00000001864	Aif1l	107	120	65	74	140	288	67	91
ENSMUSG00000001865	Cpa3	36	65	52	39	21	55	47	33
ENSMUSG00000001870	Ltbp1	673	694	576	597	262	1601	434	622
ENSMUSG00000001891	Ugp2	838	1187	666	783	613	2350	895	1213
ENSMUSG00000001901	Kcnh6	6	27	11	6	0	10	5	5
ENSMUSG00000001909	Trmt1	959	1098	1224	977	302	756	392	615
ENSMUSG00000001910	Nacc1	684	826	637	582	164	830	262	439
ENSMUSG00000001911	Nfix	1708	2086	1727	2071	448	1873	765	1274
ENSMUSG00000001918	Slc1a5	2162	1881	2038	1924	458	968	707	996
ENSMUSG00000001924	Uba1	6903	7305	6521	5403	1745	5137	2619	3643
ENSMUSG00000001930	Vwf	321	379	459	456	240	906	508	531
ENSMUSG00000001942	Siae	455	484	309	322	114	653	204	303
ENSMUSG00000001943	Vsig2	418	519	194	179	53	191	110	244
ENSMUSG00000001946	Esam	214	312	235	154	118	279	211	257
ENSMUSG00000001948	Spa17	30	19	8	35	13	34	7	15
ENSMUSG00000001962	Fam50a	311	400	325	442	78	328	124	201
ENSMUSG00000001964	Emd	325	340	259	295	108	400	159	228
ENSMUSG00000001983	Taco1	182	183	180	169	76	173	95	132
ENSMUSG00000001985	Grik3	3	51	6	11	0	99	11	26
ENSMUSG00000001986	Gria3	401	785	714	508	244	651	308	767
ENSMUSG00000001988	Npas1	18	10	14	14	0	5	2	3
ENSMUSG00000001995	Sipa1l2	347	489	354	355	147	520	163	278
ENSMUSG00000001998	Ap4e1	547	660	437	453	281	660	379	440
ENSMUSG00000001999	Blvra	167	245	181	174	63	688	109	182
ENSMUSG00000002006	Pdzd4	30	122	107	40	30	212	42	51
ENSMUSG00000002007	Srpk3	26	46	53	67	10	13	27	24
ENSMUSG00000002010	Idh3g	1097	1352	1195	916	381	988	531	908
ENSMUSG00000002012	Pnck	54	69	66	88	8	51	16	17
ENSMUSG00000002014	Ssr4	6741	7032	6183	5849	5131	6558	6197	11094
ENSMUSG00000002015	Bcap31	629	868	682	564	286	1420	439	746
ENSMUSG00000002017	Fam98a	692	865	619	808	162	681	467	647
ENSMUSG00000002020	Ltbp2	36	40	77	118	1	223	16	18
ENSMUSG00000002028	Kmt2a	3525	3961	3584	3595	804	1925	1392	2094
ENSMUSG00000002031	Ift46	1316	1475	1401	1010	426	828	501	661
ENSMUSG00000002032	Tmem25	29	35	17	5	13	30	9	17
ENSMUSG00000002033	Cd3g	0	0	11	7	0	45	5	8
ENSMUSG00000002043	Trappc6a	157	250	230	224	79	197	117	210
ENSMUSG00000002052	Supt6	3183	3545	3827	3932	704	2213	1058	1641
ENSMUSG00000002055	Spag5	103	102	150	165	4	160	72	101
ENSMUSG00000002057	Foxn1	0	0	0	0	0	1	0	0
ENSMUSG00000002058	Unc119	38	142	140	86	24	445	64	112
ENSMUSG00000002059	Rab34	132	160	177	187	36	233	82	107
ENSMUSG00000002064	Sdf2	899	814	776	995	334	1185	406	691
ENSMUSG00000002068	Ccne1	74	66	52	72	18	57	28	21
ENSMUSG00000002076	Hsf2bp	118	73	25	38	6	12	9	20
ENSMUSG00000002083	Bbc3	41	23	38	83	26	88	59	55
ENSMUSG00000002100	Mybpc3	11	1	3	0	8	5	8	5
ENSMUSG00000002102	Psmc3	3012	2884	2737	3339	869	3766	1309	2123
ENSMUSG00000002103	Acp2	834	982	835	736	216	1141	314	464
ENSMUSG00000002104	Rapsn	3	13	20	0	0	20	11	3
ENSMUSG00000002105	Slc39a13	466	527	490	568	136	393	172	278
ENSMUSG00000002107	Celf2	978	1135	607	788	517	1943	599	1012
ENSMUSG00000002108	Nr1h3	443	492	463	617	134	597	229	317
ENSMUSG00000002109	Ddb2	213	299	153	139	32	149	86	125
ENSMUSG00000002111	Spi1	39	91	54	95	19	549	86	95
ENSMUSG00000002129	Sf3a1	469	639	629	485	218	666	252	365
ENSMUSG00000002147	Stat6	1955	1949	1993	1970	393	2454	708	1039
ENSMUSG00000002190	Clgn	0	0	0	0	0	0	0	0
ENSMUSG00000002204	Napsa	46	52	28	15	7	186	27	33
ENSMUSG00000002205	Vrk3	338	495	440	550	88	392	170	281
ENSMUSG00000002210	Smg9	218	206	223	285	44	241	80	147
ENSMUSG00000002221	Paxip1	1225	1106	1094	1268	386	637	379	664
ENSMUSG00000002222	Rmnd5a	2771	3298	2205	1970	1703	3740	1799	2818
ENSMUSG00000002227	Mov10	182	290	302	354	53	258	88	117
